Total Sutradara: 1385
Total Film: 3333
Rata-rata film per sutradara: 2.41

Daftar Lengkap Sutradara:
--------------------------------------------------
                            Sutradara  Jumlah Film
                     Nayato Fio Nuala           67
                      Tidak Diketahui           59
                     Hanung Bramantyo           47
                      Rizal Mantovani           46
                           Monty Tiwa           39
                         Anggy Umbara           32
                       Rudi Soedjarwo           32
                   Guntur Soeharjanto           32
                        Rako Prijanto           31
                     Findo Purwono HW           27
                        Fajar Bustomi           26
                          Awi Suryadi           25
                        Jose Poernomo           23
                         Fajar Nugros           23
                       Chiska Doppert           21
                     Hanny R. Saputra           21
                       Benni Setiawan           21
                Angga Dwimas Sasongko           20
                       Ody C. Harahap           20
                        Garin Nugroho           19
                            Riri Riza           19
                    Helfi C.H. Kardit           19
                      Herwin Novianto           17
                    Azhar Kinoi Lubis           17
                    Hadrah Daeng Ratu           16
                        Indra Gunawan           16
                            Arie Azis           16
                           Joko Anwar           15
                   Andibachtiar Yusuf           14
                        Ifa Isfansyah           14
                                Edwin           14
                         Danial Rifki           13
                          Upi Avianto           13
                  Teddy Soeriaatmadja           13
                       Ismail Basbeth           12
                      Billy Christian           12
                        Yandy Laurens           12
                         Rama DeRanau           11
                      Azzam Fi Rullah           11
                           Iqbal Rais           11
            Ginanti Rona Tembang Asri           10
                         Rocky Soraya           10
                   Dyan Sunu Prastowo           10
                        Asep Kusdinar           10
                       Yoyok Dumprink            9
                 Lasja Fauzia Susatyo            9
                         Raditya Dika            9
                           Viva Westi            9
                       Muhammad Yusuf            9
                     Wregas Bhanuteja            8
                           Nia Dinata            8
                        Kimo Stamboel            8
                       Lucky Kuswandi            8
                          Lola Amaria            8
                          Reka Wijaya            8
                     B.W. Purbanegara            8
                         Jeihan Angga            8
                        Sidharta Tata            8
                       Roufy Nasution            8
                   Irham Acho Bahtiar            8
                       Charles Gozali            8
                           Dedy Mercy            8
                       Bobby Prasetyo            8
                  Razka Robby Ertanto            8
                        Hestu Saputra            8
                     Kurnia Alexander            8
                         Faozan Rizal            8
                         Aditya Gumay            7
                          Paul Agusta            7
                          Hasto Broto            7
                        Kamila Andini            7
                          Emil Heradi            7
                Affandi Abdul Rachman            7
                       Timo Tjahjanto            7
                  Syahrir Arsyad Dini            7
                       Dandhy Laksono            7
                       Jason Iskandar            7
                     Yosep Anggi Noen            7
                Harry Dagoe Suharyadi            7
                       Ernest Prakasa            7
                           Kuntz Agus            7
                      Shohipul Ma'ruf            7
                         Ari Sihasale            7
                        Alif Abimanyu            6
                        Soni Gaokasak            6
                       Ardy Octaviand            6
                  Shalahuddin Siregar            6
                         Erwin Arnada            6
                        Eddie Cahyono            6
                          Rizki Balki            6
                         Chandra Liow            6
                      Raymond Handaya            6
                        Sridhar Jetty            6
                  Wisnu Surya Pratama            6
                          Mouly Surya            6
                         Riar Rizaldi            6
                         Rudi Aryanto            6
                          Gugun Arief            6
                       Wishnu Kuncoro            6
                       John de Rantau            6
                   Jason Nathanael Go            6
                      Bagas  Wiranata            6
                       Damien Dematra            6
                     George Hutabarat            5
                       Adam Martahadi            5
                      Ariani Darmawan            5
                              Lakonde            5
                      Hafiz Rancajale            5
                         Amrul Ummami            5
                          Umay Shahab            5
                     Nanang Istiabudi            5
                       Yuda Kurniawan            5
                             Alyandra            5
                      Aria Kusumadewa            5
                        Winner Wijaya            5
                        Loeloe Hendra            5
                         Deddy Mizwar            5
                     Andra Fembriarto            5
                           Eka Katili            5
                        Girry Pratama            5
                         Yusron Fuadi            5
                Winaldha E. Melalatoa            5
                     Farishad Latjuba            5
                        Candra Aditya            5
                        Salman Aristo            5
                       Adriyanto Dewo            5
                        Dinna Jasanti            5
                   Andry Ganda Wijaya            5
                        Otty Widasari            5
                           Richard Oh            5
                Yuniar Diansyah Putra            5
                 Sammaria Simanjuntak            5
                        Naya Anindita            5
                     Anggun Priambodo            5
              Timoteus Anggawan Kusno            5
                             Ubay Fox            5
                               Cuk FK            5
                           Mimi Jegon            4
                     Herdanius Larobu            4
                  Pandji Pragiwaksono            4
                    Adhe Dharmastriya            4
                        Jastis Arimba            4
                   Nan Triveni Achnas            4
                            Wisnu Adi            4
                           Andri Cung            4
                      Angling Sagaran            4
                      Gunawan Paggaru            4
                       Kamerad Edmond            4
                 Pritagita Arianegara            4
                            Ibnu Agha            4
                       David Poernomo            4
                       Agung Sentausa            4
                        Irwan Siregar            4
                         Nurman Hakim            4
                             Boy Rano            4
                          Ario Rubbik            4
                     Djenar Maesa Ayu            4
                      Dheeraj Kalwani            4
                    Tonny Trimarsanto            4
                            Jay Sukmo            4
                       Adink Liwutang            4
                 Indrayanto Kurniawan            4
                     Patrick Warmanda            4
                         Robert Ronny            4
                        Chairun Nissa            4
                       Destian Rendra            4
                       Ichwan Persada            4
                         Gina S. Noer            4
                       Dede Ferdinand            4
                           Amin Ishaq            4
                         Dedi Setiadi            4
                   Adis Kayl Yurahmah            4
                  Monica Vanesa Tedja            4
            Sabrina Rochelle Kalangie            4
                          Ucu Agustin            4
                            Ihdar Nur            4
                    Tumpal Tampubolon            4
                  I Kadek Jaya Wiguna            4
                        Emil G. Hampp            4
                          Ainun Ridho            4
            Kevin Navarro Cakrawangsa            4
                         Keanu Acyuta            4
                        Hedy Suryawan            4
                     Indra Yudhistira            4
                      Archie Hekagery            4
                           Ian Jacobs            4
                        Bambang Drias            4
                        Muhadkly Acho            4
                        Hanny Mustofa            4
                        Eman Pradipta            4
                 M. Reza Fahriyansyah            4
                         Putrama Tuta            4
                       Senoaji Julius            3
                      Adrianto Sinaga            3
                          Deni Pusung            3
                       Makbul Mubarak            3
                          Dwi Ilalang            3
                            Adi Garin            3
                       Agusti Tanjung            3
                      Rahung Nasution            3
                     Andreas Sullivan            3
                         Asun Mawardi            3
                       Dirmawan Hatta            3
                  Mamahit Luigi Donie            3
                           Sidi Saleh            3
                     Angkasa Ramadhan            3
                      Sofyan D. Surza            3
                      Rusmin Nuryadin            3
                            Gin Teguh            3
                         Harris Nizam            3
                           Ray Nayoan            3
                         Anggi Frisca            3
                         Ninndi Raras            3
                         Chaerul Umam            3
                         Aditya Ahmad            3
                           Lee Croudy            3
                       Agus H Mawardy            3
                   Cassandra Massardi            3
                             Watchdoc            3
                 Bene Dion Rajagukguk            3
                     Dennis Adishwara            3
                      Galih Pramudito            3
               Leonard Retel Helmrich            3
                         Sunil Soraya            3
                     Ravi L. Bharwani            3
                      Fachri Al Jupri            3
                           Humar Hadi            3
                       Muchyar Syamas            3
                 Ivander Tedjasukmana            3
                   Herlambang Hashemi            3
                  Manuel Alberto Maia            3
                        Eddy Prasetya            3
                 Alzein Putra Merdeka            3
                        Tema Patrosza            3
                      Arief Malinmudo            3
                         Riza Pahlevi            3
                           Toto Hoedi            3
                         Gareth Evans            3
                      Dzauqy F. Ilham            3
                         Endri Pelita            3
                       Praditha Blifa            3
                     Sinung Winahyoko            3
                              Wimbadi            3
                     Aco Tenriyagelli            3
                        Hilman Mutasi            3
                      William Chandra            3
                        Kenny Gulardi            3
                         Sarah Adilah            3
                          Adi Victory            3
                     Sekar Ayu Asmara            3
                                Vanis            3
                        Jason Pratama            3
                          Andrew Kose            3
                      Yudhistira Bayu            3
                           Je Yatmoko            3
                   Dian Sastrowardoyo            3
                         Sentot Sahid            3
                         Aka Witharja            3
                   Ismail Fahmi Lubis            3
                     Maulana Ghiffari            3
                        Mauliya Maila            3
                         Anggita Puri            3
                Hielmy Aditya Permana            3
                        Darwin Mahesa            3
                          Bram Ferino            3
                       Wijaya Sanuaji            3
                         Beny Kristia            3
                        Andrea Suwito            3
                         Widya Arafah            3
                          Ayyub Basya            3
                    Salman Nur Izzati            3
               Ananda Afta Firstiarko            3
                         Ibnu Tsaqiif            3
                        Enison Sinaro            3
                  Alfrits John Robert            3
                     Mahardhika Yudha            3
                           Rano Karno            3
                      Adriano Rudiman            3
                         Aldo Swastia            2
                      Andi A. Manoppo            2
                           Assad M.A.            2
                         Cathy Sharon            2
                         Tarmizi Abka            2
                    Noviandra Santosa            2
                 Dimas Djayadiningrat            2
                      Matthew Dunning            2
                      Arnandha Wyanto            2
                          Adi Marsono            2
                        Soleh Solihun            2
                        Mahatma Putra            2
                    Lip Sariful Hanan            2
                        Reza Rahadian            2
                         Arie Kriting            2
                    Christ Helweldery            2
                 Harvan Agustriansyah            2
                           Adhyatmika            2
                    Yayan Wiludiharto            2
                          Ronny Mepet            2
                           Joel Fadly            2
                Athpal Sofie Paturusi            2
                       Adilla Dimitri            2
                Dwi Sujanti Nugraheni            2
                        Kiki Nuriswan            2
                 Wahyu Agung Prasetyo            2
                      Patrick Effendy            2
               Wicaksono Wisnu Legowo            2
                        Allan Lunardi            2
                             Saptadji            2
                            M. Haikal            2
                   Chandra Endroputro            2
                         Jay Subyakto            2
                      Rico M. Bradley            2
                       Bayu Pamungkas            2
                          Rully Manna            2
                    Rachmania Arunita            2
                        Bobby Prabowo            2
                       Dedy Syahputra            2
                              Mustafa            2
                      Taufan Agustyan            2
                        Achiel Nasrun            2
                         Eugene Panji            2
                        Arie Surastio            2
                       Charles Edward            2
                       Amelia Hapsari            2
                   Joshua Oppenheimer            2
                               Sys NS            2
                     Akhlis Suryapati            2
               Steve Pillar Setiabudi            2
