Total Sutradara: 1385

Nama Sutradara | Jumlah Film
------------------------------
Nayato Fio Nuala | 67 film
Tidak Diketahui | 59 film
Hanung Bramantyo | 47 film
Rizal Mantovani | 46 film
Monty Tiwa | 39 film
Anggy Umbara | 32 film
Rudi Soedjarwo | 32 film
Guntur Soeharjanto | 32 film
Rako Prijanto | 31 film
Findo Purwono HW | 27 film
Fajar Bustomi | 26 film
Awi Suryadi | 25 film
Jose Poernomo | 23 film
Fajar Nugros | 23 film
Chiska Doppert | 21 film
Hanny R. Saputra | 21 film
Benni Setiawan | 21 film
Angga Dwimas Sasongko | 20 film
Ody C. Harahap | 20 film
Garin Nugroho | 19 film
Riri Riza | 19 film
Helfi C.H. Kardit | 19 film
Herwin Novianto | 17 film
Azhar Kinoi Lubis | 17 film
Hadrah Daeng Ratu | 16 film
Indra Gunawan | 16 film
Arie Azis | 16 film
Joko Anwar | 15 film
Andibachtiar Yusuf | 14 film
Ifa Isfansyah | 14 film
Edwin | 14 film
Danial Rifki | 13 film
Upi Avianto | 13 film
Teddy Soeriaatmadja | 13 film
Ismail Basbeth | 12 film
Billy Christian | 12 film
Yandy Laurens | 12 film
Rama DeRanau | 11 film
Azzam Fi Rullah | 11 film
Iqbal Rais | 11 film
Ginanti Rona Tembang Asri | 10 film
Rocky Soraya | 10 film
Dyan Sunu Prastowo | 10 film
Asep Kusdinar | 10 film
Yoyok Dumprink | 9 film
Lasja Fauzia Susatyo | 9 film
Raditya Dika | 9 film
Viva Westi | 9 film
Muhammad Yusuf | 9 film
Wregas Bhanuteja | 8 film
Nia Dinata | 8 film
Kimo Stamboel | 8 film
Lucky Kuswandi | 8 film
Lola Amaria | 8 film
Reka Wijaya | 8 film
B.W. Purbanegara | 8 film
Jeihan Angga | 8 film
Sidharta Tata | 8 film
Roufy Nasution | 8 film
Irham Acho Bahtiar | 8 film
Charles Gozali | 8 film
Dedy Mercy | 8 film
Bobby Prasetyo | 8 film
Razka Robby Ertanto | 8 film
Hestu Saputra | 8 film
Kurnia Alexander | 8 film
Faozan Rizal | 8 film
Aditya Gumay | 7 film
Paul Agusta | 7 film
Hasto Broto | 7 film
Kamila Andini | 7 film
Emil Heradi | 7 film
Affandi Abdul Rachman | 7 film
Timo Tjahjanto | 7 film
Syahrir Arsyad Dini | 7 film
Dandhy Laksono | 7 film
Jason Iskandar | 7 film
Yosep Anggi Noen | 7 film
Harry Dagoe Suharyadi | 7 film
Ernest Prakasa | 7 film
Kuntz Agus | 7 film
Shohipul Ma'ruf | 7 film
Ari Sihasale | 7 film
