id,title_existing,original_title,release_date,year,vote_average_existing,vote_count_existing,popularity,overview_existing,genres,director,poster_path_existing,backdrop_path_existing,runtime,status,production_companies,title_tmdb,overview_tmdb,poster_path_tmdb,backdrop_path_tmdb,vote_average_tmdb,vote_count_tmdb,title,overview,poster_path,backdrop_path,vote_average,vote_count,certification
600129,#Malam Jumat The Movie,#MalamJumat the Movie,2019-05-16,2019,2.8,5.0,0.25,"Untuk memberikan pengalaman berbeda pada penontonnya, Ewing mencoba hal baru dengan menjelajah sebuah taman bermain bernama Wonder Park yang telah lama terbengkalai. Bersama dengan timnya, Agan, Oji, Wingky, dan Lulu, mereka menemukan jaket dan topi berinisial RH di taman tersebut. Diduga benda-benda itu milik pelaku bunuh diri, tapi mereka tidak menemukan mayatnya. Seorang gadis bernama Dinda, mengaku sebagai adik pemilik jaket dan topi tersebut. Dia tidak yakin kakaknya bunuh diri. Untuk membuktikan itu, Dinda mengajak Ewing dan timnya untuk kembali ke Wonder Park. Pada kunjungan yang kedua ini, mereka harus menghadapi kenyataan yang lebih mengerikan.","['Kengerian, Cerita Seru']",Hadrah Daeng Ratu,https://image.tmdb.org/t/p/w500/11RoR7KwO8cnWucg17OPiHPIK8c.jpg,https://image.tmdb.org/t/p/original/qTBAA7gOvKr0EKlh2a0mKYKx3nz.jpg,91,Released,"Blue Water Films, Dee Company",,,,,,,#Malam Jumat The Movie,"Untuk memberikan pengalaman berbeda pada penontonnya, Ewing mencoba hal baru dengan menjelajah sebuah taman bermain bernama Wonder Park yang telah lama terbengkalai. Bersama dengan timnya, Agan, Oji, Wingky, dan Lulu, mereka menemukan jaket dan topi berinisial RH di taman tersebut. Diduga benda-benda itu milik pelaku bunuh diri, tapi mereka tidak menemukan mayatnya. Seorang gadis bernama Dinda, mengaku sebagai adik pemilik jaket dan topi tersebut. Dia tidak yakin kakaknya bunuh diri. Untuk membuktikan itu, Dinda mengajak Ewing dan timnya untuk kembali ke Wonder Park. Pada kunjungan yang kedua ini, mereka harus menghadapi kenyataan yang lebih mengerikan.",https://image.tmdb.org/t/p/w500/11RoR7KwO8cnWucg17OPiHPIK8c.jpg,https://image.tmdb.org/t/p/original/qTBAA7gOvKr0EKlh2a0mKYKx3nz.jpg,,,
1126128,13 Bom di Jakarta,13 Bom di Jakarta,2023-12-28,2023,7.1,25.0,0.94,Badan kontraterorisme harus berpacu melawan waktu demi menghentikan gelombang serangan bom fatal di berbagai penjuru ibu kota Indonesia.,"['Aksi, Kejahatan, Cerita Seru']",Angga Dwimas Sasongko,https://image.tmdb.org/t/p/w500/wfmlt4KKn96GvdJloB0iIjMVWfQ.jpg,https://image.tmdb.org/t/p/original/bB8av9j4BideDSLuDeAreqMJJil.jpg,143,Released,"Visinema Pictures, INDODAX, Legacy Pictures, Volix Pictures, Folkative, INFIA, Barunson E&A",,,,,,,13 Bom di Jakarta,Badan kontraterorisme harus berpacu melawan waktu demi menghentikan gelombang serangan bom fatal di berbagai penjuru ibu kota Indonesia.,https://image.tmdb.org/t/p/w500/wfmlt4KKn96GvdJloB0iIjMVWfQ.jpg,https://image.tmdb.org/t/p/original/bB8av9j4BideDSLuDeAreqMJJil.jpg,,,
552860,17 Tahun ke Atas,17 Tahun ke Atas,2014-05-14,2014,2.0,2.0,0.16,"Bagas (Ajun Perwira) sangat ingin menjadi musisi. Setelah menginjak usia 17 tahun, Bagas memutuskan untuk fokus mengejar impian dan mencari jalan agar bisa menjadi musisi sukses. Bunda (Ranty Purnamasari) tidak menyetujui keputusan Bagas. Bunda juga tidak menyetujui hubungan Bagas dengan Mentari (Sonya Fatmala)",['Drama'],Nayato Fio Nuala,https://image.tmdb.org/t/p/w500/n6arh613KzsWuFGrYUrvVeFvyNN.jpg,,75,Released,"Mitra Pictures, BIC Pictures",,,,,,,17 Tahun ke Atas,"Bagas (Ajun Perwira) sangat ingin menjadi musisi. Setelah menginjak usia 17 tahun, Bagas memutuskan untuk fokus mengejar impian dan mencari jalan agar bisa menjadi musisi sukses. Bunda (Ranty Purnamasari) tidak menyetujui keputusan Bagas. Bunda juga tidak menyetujui hubungan Bagas dengan Mentari (Sonya Fatmala)",https://image.tmdb.org/t/p/w500/n6arh613KzsWuFGrYUrvVeFvyNN.jpg,,,,
536593,22 Menit,22 Menit,2018-07-19,2018,6.8,3.0,0.26,"22 menit sebelum, selama, dan setelah ledakan bom Thamrin 2016 di Jakarta.","['Aksi, Drama, Cerita Seru']",Myrna Paramita Pohan,https://image.tmdb.org/t/p/w500/jcfyEr5S1JD1lvJRsGwwUmYxJpI.jpg,https://image.tmdb.org/t/p/original/jRFaVw7GGzVBb4Kmc9CwCsqxn1A.jpg,71,Released,Buttonijo Films,,,,,,,22 Menit,"22 menit sebelum, selama, dan setelah ledakan bom Thamrin 2016 di Jakarta.",https://image.tmdb.org/t/p/w500/jcfyEr5S1JD1lvJRsGwwUmYxJpI.jpg,https://image.tmdb.org/t/p/original/jRFaVw7GGzVBb4Kmc9CwCsqxn1A.jpg,,,
521211,3 Dara 2,3 Dara 2,2018-10-25,2018,2.5,2.0,0.16,"Usai sebuah kegagalan bisnis, tiga teman hidup bersama dan menjadi bapak rumah tangga. Sementara istri-istri mereka kembali bekerja untuk membangun keuangan mereka.","['Komedi, Drama, Percintaan']",Monty Tiwa,https://image.tmdb.org/t/p/w500/5Ou0RXd6klTrqDnVjahFOaw15uD.jpg,https://image.tmdb.org/t/p/original/nzreRb7hnyrXVJLDUXfAmpopf09.jpg,90,Released,MNC Pictures,,,,,,,3 Dara 2,"Usai sebuah kegagalan bisnis, tiga teman hidup bersama dan menjadi bapak rumah tangga. Sementara istri-istri mereka kembali bekerja untuk membangun keuangan mereka.",https://image.tmdb.org/t/p/w500/5Ou0RXd6klTrqDnVjahFOaw15uD.jpg,https://image.tmdb.org/t/p/original/nzreRb7hnyrXVJLDUXfAmpopf09.jpg,,,
131702,3 Doa 3 Cinta,3 Doa 3 Cinta,2008-12-18,2008,7.5,1.0,0.13,"Huda, Rian, and Syahid are friends living in Islamic boarding school. They lost someone in their family and aspire to different things in their lives.",['Drama'],Nurman Hakim,https://image.tmdb.org/t/p/w500/32UL7Lb2KFxo8ABwfCDRHlTC4Vg.jpg,https://image.tmdb.org/t/p/original/1XITeisPj1lI3MNcC1iPJPD13NO.jpg,110,Released,"Investasi Film Indonesia, Triximages",,,,,,,3 Doa 3 Cinta,"Huda, Rian, and Syahid are friends living in Islamic boarding school. They lost someone in their family and aspire to different things in their lives.",https://image.tmdb.org/t/p/w500/32UL7Lb2KFxo8ABwfCDRHlTC4Vg.jpg,https://image.tmdb.org/t/p/original/1XITeisPj1lI3MNcC1iPJPD13NO.jpg,,,
270925,3 Pocong Idiot,3 Pocong Idiot,2012-05-03,2012,4.5,1.0,0.21,"4 friends that Glenn, Pipin, jadoel and Rivet. They are fairly well-known boy band, which often appear in the cafes. Until one night, on the way to a cafe, Pipin, jadoel and Rivet suffered the unfortunate fate as a tragic accident that killed them. After the death, they were still hanging around like any other human. Pipin still pursuing his love for a beautiful lecturer, while jadoel and Rivet are still looking for their love.","['Komedi, Kengerian']",Nayato Fio Nuala,https://image.tmdb.org/t/p/w500/dfcfLR4QLhOpzIVr4GT8svumlL1.jpg,,81,Released,Rapi Films,,,,,,,3 Pocong Idiot,"4 friends that Glenn, Pipin, jadoel and Rivet. They are fairly well-known boy band, which often appear in the cafes. Until one night, on the way to a cafe, Pipin, jadoel and Rivet suffered the unfortunate fate as a tragic accident that killed them. After the death, they were still hanging around like any other human. Pipin still pursuing his love for a beautiful lecturer, while jadoel and Rivet are still looking for their love.",https://image.tmdb.org/t/p/w500/dfcfLR4QLhOpzIVr4GT8svumlL1.jpg,,,,
404773,3 Srikandi,3 Srikandi,2016-08-04,2016,6.2,4.0,0.2,"Indonesia di tahun 1988. Dunia olah raga mempersiapkan diri turun serta di Olimpiade Musim Panas ke 24 di Seoul. Cabang panahan berada di titik kritis, di mana dibutuhkan pelatih yang bisa menyiapkan tim panahan wanita dalam waktu yang singkat. Satu-satunya yang bisa diandalkan menjadi pelatih adalah Donald Pandiangan (Reza Rahardian) yang dikenal sebagai “Robin Hood Indonesia”.","['Drama, Sejarah']",Iman Brotoseno,https://image.tmdb.org/t/p/w500/etEgKRQJHgVCG5pk4620Hlzi2w6.jpg,https://image.tmdb.org/t/p/original/uUbDQIWODHz7qfsoQdJm9brEvM2.jpg,129,Released,MVP Pictures,,,,,,,3 Srikandi,"Indonesia di tahun 1988. Dunia olah raga mempersiapkan diri turun serta di Olimpiade Musim Panas ke 24 di Seoul. Cabang panahan berada di titik kritis, di mana dibutuhkan pelatih yang bisa menyiapkan tim panahan wanita dalam waktu yang singkat. Satu-satunya yang bisa diandalkan menjadi pelatih adalah Donald Pandiangan (Reza Rahardian) yang dikenal sebagai “Robin Hood Indonesia”.",https://image.tmdb.org/t/p/w500/etEgKRQJHgVCG5pk4620Hlzi2w6.jpg,https://image.tmdb.org/t/p/original/uUbDQIWODHz7qfsoQdJm9brEvM2.jpg,,,
390888,30 Hari Mencari Cinta,30 Hari Mencari Cinta,2004-01-08,2004,0.0,0.0,0.35,"Kisah tiga sahabat, Keke (Dinna Olivia), Gwen (Nirina Zubir) dan Olin (Agnes), yang berkawan sejak SMA dan saat kuliah masih bersama-sama tinggal di rumah orangtua Olin. Suatu saat mereka tersadar belum punya pacar, dan mereka sepakat untuk mencari pacar. Usaha pertama gagal, dan mereka lalu bertaruh siapa yang pertama mendapat pacar dalam 30 hari. Kebersamaan mereka jadi merenggang.","['Komedi, Drama, Percintaan']",Upi Avianto,https://image.tmdb.org/t/p/w500/oReogDcICoeuPgFI4a6NmUbVFn9.jpg,https://image.tmdb.org/t/p/original/l7rkAhkEyHShN7siMHydOIQXyhd.jpg,113,Released,"Rexinema, Rexinema",,,,,,,30 Hari Mencari Cinta,"Kisah tiga sahabat, Keke (Dinna Olivia), Gwen (Nirina Zubir) dan Olin (Agnes), yang berkawan sejak SMA dan saat kuliah masih bersama-sama tinggal di rumah orangtua Olin. Suatu saat mereka tersadar belum punya pacar, dan mereka sepakat untuk mencari pacar. Usaha pertama gagal, dan mereka lalu bertaruh siapa yang pertama mendapat pacar dalam 30 hari. Kebersamaan mereka jadi merenggang.",https://image.tmdb.org/t/p/w500/oReogDcICoeuPgFI4a6NmUbVFn9.jpg,https://image.tmdb.org/t/p/original/l7rkAhkEyHShN7siMHydOIQXyhd.jpg,,,
218667,308,308,2013-06-04,2013,0.0,0.0,0.17,"Naya baru saja lulus kuliah dan sedang kesulitan mendapatkan pekerjaan. Caca dan Jefri, sahabatnya menawarinya pekerjaan sebagai housekeeping supervisor Samudra Hotel di Pelabuhan Ratu. Naya menerimanya karena membutuhkan uang untuk hidup dan biaya sekolah Aira, adiknya yang masih kecil. Sena, general nanager hotel itu adalah sahabat Jefri yang sudah lama menyukai Naya. Ia memperbolehkan Naya membawa Aira bersamanya.  Ketika Naya dan Aira sampai di sana, ternyata hotel ditutup selama seminggu karena ada pengasapan malaria dan demam berdarah. Semua karyawan hotel pulang kecuali beberapa orang: Sena, Erin, Prila, Dudi, dan Harlan. Keadaan hotel yang sepi membuat Naya merasa kurang nyaman, apalagi ada dua peraturan aneh.",['Kengerian'],Jose Poernomo,https://image.tmdb.org/t/p/w500/vwXAfY5sQ7UF5RIB5uTnSgsh8Qb.jpg,,120,Released,Hitmaker Studios,,,,,,,308,"Naya baru saja lulus kuliah dan sedang kesulitan mendapatkan pekerjaan. Caca dan Jefri, sahabatnya menawarinya pekerjaan sebagai housekeeping supervisor Samudra Hotel di Pelabuhan Ratu. Naya menerimanya karena membutuhkan uang untuk hidup dan biaya sekolah Aira, adiknya yang masih kecil. Sena, general nanager hotel itu adalah sahabat Jefri yang sudah lama menyukai Naya. Ia memperbolehkan Naya membawa Aira bersamanya.  Ketika Naya dan Aira sampai di sana, ternyata hotel ditutup selama seminggu karena ada pengasapan malaria dan demam berdarah. Semua karyawan hotel pulang kecuali beberapa orang: Sena, Erin, Prila, Dudi, dan Harlan. Keadaan hotel yang sepi membuat Naya merasa kurang nyaman, apalagi ada dua peraturan aneh.",https://image.tmdb.org/t/p/w500/vwXAfY5sQ7UF5RIB5uTnSgsh8Qb.jpg,,,,
