Sutradara,Jumlah Film
Nayato Fio Nuala,67
Hanung Bramantyo,47
Rizal Mantovani,46
Rudi Soedjarwo,32
Anggy Umbara,32
Rako Prijanto,31
Fajar Bustomi,26
Awi Suryadi,25
Fajar Nugros,23
Angga Dwimas Sasongko,20
Riri Riza,19
Garin Nugroho,19
Joko Anwar,15
Ifa Isfansyah,14
Upi Avianto,13
Yandy Laurens,12
Rocky Soraya,10
Raditya Dika,9
Nia Dinata,8
Kimo Stamboel,8
Wregas Bhanuteja,8
Kamila Andini,7
Timo Tjahjanto,7
Ernest Prakasa,7
Mouly Surya,6
Sabrina Rochelle Kalangie,4
Gina S. Noer,4
Muhadkly Acho,4
Bene Dion Rajagukguk,3
Baim Wong,2
Wahyu Agung Prasetyo,2
Usmar Ismail,2
Arie Kriting,2
Arifin C. Noer,1
