tmdb_id,title,original_title,year,release_date,overview,popularity,vote_average,vote_count,original_language,poster_path,genres,production_countries,runtime
536526,Bintang Jatuh,Bintang Jatuh,2000,2000-11-03,,1.066,0.0,0,id,https://image.tmdb.org/t/p/w500/igsiBr1dwGGrl456aiez6orBgrL.jpg,['Drama'],['Indonesia'],103
612813,Telegram,Telegram,2000,2000-01-01,,0.6735,0.0,0,id,https://image.tmdb.org/t/p/w500/co9ip529croBVLow1PGxHO5vrmX.jpg,[],[],82
787564,Sebuah Pertanyaan Untuk Cinta,Sebuah Pertanyaan Untuk Cinta,2000,2000-11-03,,0.9826,0.0,0,id,https://image.tmdb.org/t/p/w500/yKm5LqVtZQk1FQx1oZzXnZ6vC3R.jpg,['Drama'],[],86
355187,Puisi Tak Terkuburkan,Puisi Tak Terkuburkan,2000,2000-11-07,,0.5634,6.3,3,id,https://image.tmdb.org/t/p/w500/7HXkDH6Y1efW4etA1hEbCDu5fZg.jpg,"['Drama', 'Dokumenter']",['Indonesia'],90
396486,Dewi Mayangsari,Dewi Mayangsari,2000,2000-01-01,,0.4317,4.0,2,id,https://image.tmdb.org/t/p/w500/80R01YelZDeSj2zgAJlasybwjD3.jpg,"['Aksi', 'Petualangan', 'Animasi', 'Fantasi']",['Indonesia'],41
1275316,Hang Tuah,Hang Tuah,2000,2000-01-01,,0.3104,0.0,0,id,https://image.tmdb.org/t/p/w500/ijLMPwmdKX3FCV5s9uMlu1Bwc72.jpg,"['Animasi', 'Aksi']",['Indonesia'],35
752023,Reinkarnasi,Reinkarnasi,2000,2000-01-06,,0.3682,0.0,0,id,https://image.tmdb.org/t/p/w500/6akYHTTCv1MCMEvRkFVjNXSzTWT.jpg,['Aksi'],['Indonesia'],112
881906,Portrait,Portrait,2000,2000-01-01,,0.0676,0.0,0,id,https://image.tmdb.org/t/p/w500/i5nk0SQSdDytAgCLNPCFoQZplWA.jpg,['Kengerian'],['Indonesia'],14
1275070,Damar Wulan,Damar Wulan,2000,2000-01-01,,0.0496,0.0,0,id,https://image.tmdb.org/t/p/w500/u2QR2GahPcSl7mMkDhHtfk7rKCy.jpg,"['Animasi', 'Aksi']",['Indonesia'],41
1275293,Pancasaka 2 - Bara Api Dalam Hati,Pancasaka 2 - Bara Api Dalam Hati,2000,2000-01-01,,0.0357,0.0,0,id,https://image.tmdb.org/t/p/w500/FOCNwZB4mQ0086vctMg3amwqPI.jpg,['Animasi'],['Indonesia'],40
