tmdb_id,title,original_title,year,release_date,overview,popularity,vote_average,vote_count,original_language,poster_path,genres,production_countries,runtime
536526,Bintang Jatuh,Bintang Jatuh,2000,2000-11-03,,1.066,0.0,0,id,https://image.tmdb.org/t/p/w500/igsiBr1dwGGrl456aiez6orBgrL.jpg,['Drama'],['Indonesia'],103
612813,Telegram,Telegram,2000,2000-01-01,,0.6735,0.0,0,id,https://image.tmdb.org/t/p/w500/co9ip529croBVLow1PGxHO5vrmX.jpg,[],[],82
787564,Sebuah Pertanyaan Untuk Cinta,Sebuah Pertanyaan Untuk Cinta,2000,2000-11-03,,0.9826,0.0,0,id,https://image.tmdb.org/t/p/w500/yKm5LqVtZQk1FQx1oZzXnZ6vC3R.jpg,['Drama'],[],86
355187,Puisi Tak Terkuburkan,Puisi Tak Terkuburkan,2000,2000-11-07,,0.5634,6.3,3,id,https://image.tmdb.org/t/p/w500/7HXkDH6Y1efW4etA1hEbCDu5fZg.jpg,"['Drama', 'Dokumenter']",['Indonesia'],90
396486,Dewi Mayangsari,Dewi Mayangsari,2000,2000-01-01,,0.4317,4.0,2,id,https://image.tmdb.org/t/p/w500/80R01YelZDeSj2zgAJlasybwjD3.jpg,"['Aksi', 'Petualangan', 'Animasi', 'Fantasi']",['Indonesia'],41
1275316,Hang Tuah,Hang Tuah,2000,2000-01-01,,0.3104,0.0,0,id,https://image.tmdb.org/t/p/w500/ijLMPwmdKX3FCV5s9uMlu1Bwc72.jpg,"['Animasi', 'Aksi']",['Indonesia'],35
752023,Reinkarnasi,Reinkarnasi,2000,2000-01-06,,0.3682,0.0,0,id,https://image.tmdb.org/t/p/w500/6akYHTTCv1MCMEvRkFVjNXSzTWT.jpg,['Aksi'],['Indonesia'],112
881906,Portrait,Portrait,2000,2000-01-01,,0.0676,0.0,0,id,https://image.tmdb.org/t/p/w500/i5nk0SQSdDytAgCLNPCFoQZplWA.jpg,['Kengerian'],['Indonesia'],14
1275070,Damar Wulan,Damar Wulan,2000,2000-01-01,,0.0496,0.0,0,id,https://image.tmdb.org/t/p/w500/u2QR2GahPcSl7mMkDhHtfk7rKCy.jpg,"['Animasi', 'Aksi']",['Indonesia'],41
1275293,Pancasaka 2 - Bara Api Dalam Hati,Pancasaka 2 - Bara Api Dalam Hati,2000,2000-01-01,,0.0357,0.0,0,id,https://image.tmdb.org/t/p/w500/FOCNwZB4mQ0086vctMg3amwqPI.jpg,['Animasi'],['Indonesia'],40
787587,Tragedi,Tragedi,2001,2001-11-01,,2.3636,0.0,0,id,https://image.tmdb.org/t/p/w500/bjZzqdcHSlOFIRedZwN8gfmo1Ww.jpg,['Aksi'],['Indonesia'],103
522898,Lajar hidoep,Lajar hidoep,2001,2001-01-26,,2.2639,0.0,0,id,https://image.tmdb.org/t/p/w500/3eJQXoOheHwrB0WisSe8LnfGuV4.jpg,[],"['Indonesia', 'Netherlands']",13
542513,Marsinah: Cry Justice,Marsinah: Cry Justice,2001,2001-11-15,"Marsinah: Cry Justice adalah sebuah film drama kisah nyata tahun 2001 yang diproduksi oleh PT Gedam Sinemuda Perkasa, disutradarai oleh Slamet Rahardjo Djarot. Film ini diangkat dari kisah nyata tentang Marsinah, seorang aktivis dan buruh di sebuah perusahaan jam tangan di Sidoarjo yang hilang diculik dan ditemukan tewas pada 8 Mei 1993 setelah aksi unjuk rasa tegang antara buruh PT. Catur Putra Surya dengan pihak manajemen pabrik yang melibatkan anggota polisi dan militer Indonesia. - Wikipedia",2.3772,6.0,1,id,https://image.tmdb.org/t/p/w500/8EI1L6onQrqM89OEHHa81pYmXs8.jpg,"['Drama', 'Kejahatan']",['Indonesia'],115
361061,Jelangkung,Jelangkung,2001,2001-10-05,,1.8526,6.0,7,id,https://image.tmdb.org/t/p/w500/2I2eIPMdRqdLUGZomQDMoveefcJ.jpg,['Kengerian'],['Indonesia'],102
